# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w00_vac_ns50_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# vacuum polarization: ridge along q0 = E(q1) is the meson dispersion
q0,q1,ReW00,ImW00,window_spread
0.0200,2.764602,-8.269114e-04,-9.661053e-06,1.155150e-03
0.0200,3.015929,-9.165712e-04,-1.035721e-05,6.250387e-04
0.0600,0.000000,-3.561079e-06,8.243527e-19,1.364499e-05
0.0600,0.251327,-2.324635e-05,7.712325e-07,4.839041e-05
0.0600,0.502655,-4.630469e-05,1.333008e-06,9.418406e-05
0.0600,0.753982,-8.983074e-05,1.508624e-06,2.668257e-04
0.0600,1.005310,-1.371506e-04,1.181370e-06,4.419898e-04
0.0600,1.256637,-2.070040e-04,3.119574e-07,7.560076e-04
0.0600,1.507964,-2.815920e-04,-1.056099e-06,1.046596e-03
0.0600,1.759292,-3.794773e-04,-2.803194e-06,1.420545e-03
0.0600,2.010619,-4.784979e-04,-4.750670e-06,1.665585e-03
0.0600,2.261947,-5.962391e-04,-6.685282e-06,1.886938e-03
0.0600,2.513274,-7.050619e-04,-8.387642e-06,1.858186e-03
0.0600,2.764602,-8.242397e-04,-9.661053e-06,1.744579e-03
0.0600,3.015929,-9.218845e-04,-1.035721e-05,1.336354e-03
0.1000,0.000000,-2.707056e-06,-1.909019e-18,1.574178e-05
0.1000,0.251327,-2.031789e-05,7.712325e-07,3.796647e-05
0.1000,0.502655,-3.969336e-05,1.333008e-06,6.550086e-05
0.1000,0.753982,-7.814004e-05,1.508624e-06,2.132762e-04
0.1000,1.005310,-1.198911e-04,1.181370e-06,3.692496e-04
0.1000,1.256637,-1.843405e-04,3.119574e-07,6.776207e-04
0.1000,1.507964,-2.548389e-04,-1.056099e-06,9.895909e-04
0.1000,1.759292,-3.505184e-04,-2.803194e-06,1.416358e-03
0.1000,2.010619,-4.500016e-04,-4.750670e-06,1.751994e-03
0.1000,2.261947,-5.707703e-04,-6.685282e-06,2.095065e-03
0.1000,2.513274,-6.852202e-04,-8.387642e-06,2.213954e-03
0.1000,2.764602,-8.117193e-04,-9.661053e-06,2.255922e-03
0.1000,3.015929,-9.178938e-04,-1.035721e-05,1.999859e-03
0.1400,0.000000,-1.841756e-06,-2.295438e-18,1.809485e-05
0.1400,0.251327,-1.726993e-05,7.712325e-07,2.563317e-05
0.1400,0.502655,-3.280004e-05,1.333008e-06,3.133799e-05
0.1400,0.753982,-6.576535e-05,1.508624e-06,1.459531e-04
0.1400,1.005310,-1.013048e-04,1.181370e-06,2.707067e-04
0.1400,1.256637,-1.592830e-04,3.119574e-07,5.558734e-04
0.1400,1.507964,-2.243001e-04,-1.056099e-06,8.686620e-04
0.1400,1.759292,-3.160288e-04,-2.803194e-06,1.325674e-03
0.1400,2.010619,-4.141707e-04,-4.750670e-06,1.732536e-03
0.1400,2.261947,-5.362122e-04,-6.685282e-06,2.183446e-03
0.1400,2.513274,-6.549634e-04,-8.387642e-06,2.446828e-03
0.1400,2.764602,-7.879445e-04,-9.661053e-06,2.652069e-03
0.1400,3.015929,-9.025780e-04,-1.035721e-05,2.569229e-03
